loc_00060d98: transferPatternData           ()
loc_00060f58: op02                          (0x0006 < 0xff89 0xffc8 0x0183 0xffc8 0x0183 0x012a 0xff89 0x012a > )
loc_00060f6c: draw                          (0x02)
loc_00060f6f: op02                          (0x0006 < 0xff93 0xffcb 0x017e 0xffcb 0x017e 0x0123 0xff93 0x0123 > )
loc_00060f83: draw                          (0x02)
loc_00060f86: op02                          (0x0006 < 0xff9e 0xffd0 0x017a 0xffd0 0x017a 0x011d 0xff9e 0x011d > )
loc_00060f9a: draw                          (0x02)
loc_00060f9d: op02                          (0x0006 < 0xffa5 0xffd5 0x0174 0xffd5 0x0174 0x0119 0xffa5 0x0119 > )
loc_00060fb1: draw                          (0x02)
loc_00060fb4: op02                          (0x0006 < 0xffae 0xffd8 0x016f 0xffd8 0x016f 0x0112 0xffae 0x0112 > )
loc_00060fc8: draw                          (0x02)
loc_00060fcb: op02                          (0x0006 < 0xffb9 0xffde 0x0168 0xffde 0x0168 0x010c 0xffb9 0x010c > )
loc_00060fdf: draw                          (0x02)
loc_00060fe2: op02                          (0x0006 < 0xffc0 0xffe2 0x0164 0xffe2 0x0164 0x0108 0xffc0 0x0108 > )
loc_00060ff6: draw                          (0x02)
loc_00060ff9: op02                          (0x0006 < 0xffc6 0xffe4 0x015f 0xffe4 0x015f 0x0102 0xffc6 0x0102 > )
loc_0006100d: draw                          (0x02)
loc_00061010: op02                          (0x0006 < 0xffce 0xffe8 0x015d 0xffe8 0x015d 0x00ff 0xffce 0x00ff > )
loc_00061024: draw                          (0x02)
loc_00061027: op02                          (0x0006 < 0xffd4 0xffeb 0x015a 0xffeb 0x015a 0x00fb 0xffd4 0x00fb > )
loc_0006103b: draw                          (0x02)
loc_0006103e: op02                          (0x0006 < 0xffdd 0xffef 0x0154 0xffef 0x0154 0x00f5 0xffdd 0x00f5 > )
loc_00061052: draw                          (0x02)
loc_00061055: op02                          (0x0006 < 0xffe1 0xfff2 0x0150 0xfff2 0x0150 0x00f2 0xffe1 0x00f2 > )
loc_00061069: draw                          (0x02)
loc_0006106c: op02                          (0x0006 < 0xffe7 0xfff4 0x014d 0xfff4 0x014d 0x00ef 0xffe7 0x00ef > )
loc_00061080: draw                          (0x02)
loc_00061083: op02                          (0x0006 < 0xffed 0xfff6 0x014c 0xfff6 0x014c 0x00eb 0xffed 0x00eb > )
loc_00061097: draw                          (0x02)
loc_0006109a: op02                          (0x0006 < 0xfff2 0xfff9 0x0149 0xfff9 0x0149 0x00e8 0xfff2 0x00e8 > )
loc_000610ae: draw                          (0x02)
loc_000610b1: op02                          (0x0006 < 0xfff7 0xfffc 0x0143 0xfffc 0x0143 0x00e5 0xfff7 0x00e5 > )
loc_000610c5: draw                          (0x02)
loc_000610c8: op02                          (0x0006 < 0xfffc 0xfffe 0x0141 0xfffe 0x0141 0x00e1 0xfffc 0x00e1 > )
loc_000610dc: draw                          (0x02)
loc_000610df: op02                          (0x0006 < 0x0000 0x0000 0x013f 0x0000 0x013f 0x00df 0x0000 0x00df > )
loc_000610f3: draw                          (0x02)
loc_000610f6: changeFgTilemap               ([ 0x01 ])
loc_000610f9: draw                          (0xff)
loc_000610fc: draw                          (0x92)
