loc_0000630e: op02                          (0x0000)
loc_000063c9: renderObjsHigh?               (< 0x00 0x01 > )
loc_000063cd: draw                          (0x06)
loc_000063d0: renderObjsHigh?               (< 0x00 0x02 > )
loc_000063d4: draw                          (0x06)
loc_000063d7: renderObjsHigh?               (< 0x00 0x01 > )
loc_000063db: draw                          (0x06)
loc_000063de: renderObjsHigh?               (< 0x00 0x03 > )
loc_000063e2: draw                          (0x06)
loc_000063e5: renderObjsHigh?               (< 0x00 0x01 > )
loc_000063e9: draw                          (0x06)
loc_000063ec: renderObjsHigh?               (< 0x00 0x01 > )
loc_000063f0: draw                          (0x06)
loc_000063f3: renderObjsHigh?               (< 0x00 0x02 > )
loc_000063f7: draw                          (0x06)
loc_000063fa: renderObjsHigh?               (< 0x00 0x03 > )
loc_000063fe: draw                          (0x06)
loc_00006401: renderObjsHigh?               (< 0x00 0x02 > )
loc_00006405: draw                          (0x06)
loc_00006408: renderObjsHigh?               (< 0x00 0x01 > )
loc_0000640c: draw                          (0x06)
loc_0000640f: renderObjsHigh?               (< 0x00 0x02 > )
loc_00006413: draw                          (0x06)
loc_00006416: renderObjsHigh?               (< 0x00 0x03 > )
loc_0000641a: draw                          (0x06)
loc_0000641d: renderObjsHigh?               (< 0x00 0x01 > )
loc_00006421: draw                          (0x06)
loc_00006424: renderObjsHigh?               (< 0x00 0x03 > )
loc_00006428: draw                          (0x06)
loc_0000642b: renderObjsHigh?               (< 0x00 0x01 > )
loc_0000642f: draw                          (0x06)
loc_00006432: renderObjsHigh?               (< 0x00 0x02 > )
loc_00006436: draw                          (0x06)
loc_00006439: renderObjsHigh?               (< 0x00 0x01 > )
loc_0000643d: draw                          (0x06)
loc_00006440: renderObjsHigh?               (< 0x00 0x02 > )
loc_00006444: draw                          (0x06)
loc_00006447: renderObjsHigh?               (< 0x00 0x03 > )
loc_0000644b: draw                          (0x06)
loc_0000644e: renderObjsHigh?               (< 0x00 0x02 > )
loc_00006452: draw                          (0x06)
loc_00006455: renderObjsHigh?               (< 0x00 0x03 > )
loc_00006459: draw                          (0x06)
loc_0000645c: renderObjsHigh?               (< 0x00 0x02 > )
loc_00006460: draw                          (0x06)
loc_00006463: renderObjsHigh?               (< 0x00 0x01 > )
loc_00006467: draw                          (0x06)
loc_0000646a: renderObjsHigh?               (< 0x00 0x03 > )
loc_0000646e: draw                          (0x06)
loc_00006471: renderObjsHigh?               (< 0x00 0x02 > )
loc_00006475: draw                          (0x06)
loc_00006478: renderObjsHigh?               (< 0x00 0x03 > )
loc_0000647c: draw                          (0x06)
loc_0000647f: renderObjsHigh?               (< 0x00 0x02 > )
loc_00006483: draw                          (0x06)
loc_00006486: renderObjsHigh?               (< 0x00 0x02 > )
loc_0000648a: draw                          (0x06)
loc_0000648d: renderObjsHigh?               (< 0x00 0x03 > )
loc_00006491: draw                          (0x06)
loc_00006494: renderObjsHigh?               (< 0x00 0x01 > )
loc_00006498: draw                          (0x06)
loc_0000649b: draw                          (0x14)
loc_0000649e: renderObjsHigh?               (< 0x04 0x01 > )
loc_000064a2: draw                          (0x05)
loc_000064a5: renderObjsHigh?               (< 0x05 0x01 > )
loc_000064a9: draw                          (0x05)
loc_000064ac: renderObjsHigh?               (< 0x00 0x01 > )
loc_000064b0: draw                          (0x05)
loc_000064b3: draw                          (0x2d)
loc_000064b6: setLoopStart                  (0x01)
loc_000064b9: waitForPcm?                   ()
loc_000064bb: playPcm?                      (0x01)
loc_000064be: draw                          (0x1e)
loc_000064c1: renderObjsHigh?               (< 0x00 0x03 > )
loc_000064c5: draw                          (0x08)
loc_000064c8: renderObjsHigh?               (< 0x00 0x01 > )
loc_000064cc: draw                          (0x08)
loc_000064cf: renderObjsHigh?               (< 0x00 0x03 > )
loc_000064d3: draw                          (0x08)
loc_000064d6: renderObjsHigh?               (< 0x00 0x03 > )
loc_000064da: draw                          (0x08)
loc_000064dd: renderObjsHigh?               (< 0x00 0x03 > )
loc_000064e1: draw                          (0x08)
loc_000064e4: renderObjsHigh?               (< 0x00 0x01 > )
loc_000064e8: draw                          (0x08)
loc_000064eb: draw                          (0x1e)
loc_000064ee: renderObjsHigh?               (< 0x04 0x01 > )
loc_000064f2: draw                          (0x06)
loc_000064f5: renderObjsHigh?               (< 0x05 0x01 > )
loc_000064f9: draw                          (0x06)
loc_000064fc: renderObjsHigh?               (< 0x00 0x01 > )
loc_00006500: draw                          (0x08)
loc_00006503: renderObjsHigh?               (< 0x04 0x01 > )
loc_00006507: draw                          (0x06)
loc_0000650a: renderObjsHigh?               (< 0x05 0x01 > )
loc_0000650e: draw                          (0x06)
loc_00006511: renderObjsHigh?               (< 0x00 0x01 > )
loc_00006515: draw                          (0x08)
loc_00006518: draw                          (0x1e)
loc_0000651b: setLoopStart                  (0x01)
loc_0000651e: waitForPcm?                   ()
loc_00006520: op02                          (0x0001 0x0001 =CHOICE0_X =CHOICE0_Y =CHOICE0_W =CHOICE0_H)
